 l_angstrom,N,lower,upper,g_l,g_u,rate,strength,log_gf
 507.058,   9,  1^1S, 10^1P, 1, 3, 1.593e7, 1.841e-3, -2.735
 507.718,   8,  1^1S,  9^1P, 1, 3, 2.183e7, 2.530e-3, -2.597
 508.643,   7,  1^1S,  8^1P, 1, 3, 3.103e7, 3.610e-3, -2.443
 509.998,   6,  1^1S,  7^1P, 1, 3, 4.622e7, 5.405e-3, -2.267
 512.099,   5,  1^1S,  6^1P, 1, 3, 7.317e7, 8.628e-3, -2.064
 515.617,   4,  1^1S,  5^1P, 1, 3, 1.258e8, 1.504e-2, -1.823
 522.213,   3,  1^1S,  4^1P, 1, 3, 2.436e8, 2.986e-2, -1.525
 537.030,   2,  1^1S,  3^1P, 1, 3, 5.663e8, 7.344e-2, -1.134
 584.334,   1,  1^1S,  2^1P, 1, 3, 1.799e9, 2.762e-1, -0.559
 591.412, 557,  1^1S,  2^3P, 1, 3, 1.776e2, 2.794e-8, -7.554
2677.924, 304,  2^3S, 10^3P, 3, 9, 4.417e5, 1.424e-3, -2.369
2696.918, 303,  2^3S,  9^3P, 3, 9, 6.023e5, 1.970e-3, -2.228
2723.999, 302,  2^3S,  8^3P, 3, 9, 8.500e5, 2.836e-3, -2.070
2764.619, 301,  2^3S,  7^3P, 3, 9, 1.251e6, 4.299e-3, -1.890
2829.913, 300,  2^3S,  6^3P, 3, 9, 1.939e6, 6.982e-3, -1.679
2945.964, 299,  2^3S,  5^3P, 3, 9, 3.201e6, 1.249e-2, -1.426
3188.665, 298,  2^3S,  4^3P, 3, 9, 5.636e6, 2.577e-2, -1.112
3232.203,  18,  2^1S, 10^1P, 1, 3, 5.101e5, 2.396e-3, -2.620
3259.213,  17,  2^1S,  9^1P, 1, 3, 6.963e5, 3.326e-3, -2.478
3297.722,  16,  2^1S,  8^1P, 1, 3, 9.843e5, 4.813e-3, -2.318
3355.519,  15,  2^1S,  7^1P, 1, 3, 1.454e6, 7.360e-3, -2.133
3448.577,  14,  2^1S,  6^1P, 1, 3, 2.269e6, 1.213e-2, -1.916
3555.440, 320,  2^3P, 10^3D, 9,15, 1.310e6, 4.137e-3, -1.429
3564.005, 319,  2^3P, 10^3S, 9, 3, 4.836e5, 3.069e-4, -2.559
3588.304, 318,  2^3P,  9^3D, 9,15, 1.811e6, 5.825e-3, -1.280
3600.350, 317,  2^3P,  9^3S, 9, 3, 6.724e5, 4.355e-4, -2.407
3614.673,  13,  2^1S,  5^1P, 1, 3, 3.802e6, 2.234e-2, -1.651
3635.286, 316,  2^3P,  8^3D, 9,15, 2.606e6, 8.604e-3, -1.111
3653.041, 315,  2^3P,  8^3S, 9, 3, 9.744e5, 6.497e-4, -2.233
3706.070, 314,  2^3P,  7^3D, 9,15, 3.953e6, 1.356e-2, -0.913
3733.945, 313,  2^3P,  7^3S, 9, 3, 1.490e6, 1.038e-3, -2.030
3820.708, 312,  2^3P,  6^3D, 9,15, 6.435e6, 2.347e-2, -0.675
3834.636,  34,  2^1P, 10^1D, 3, 5, 9.647e5, 3.543e-3, -1.973
3839.189,  33,  2^1P, 10^1S, 3, 1, 3.743e5, 2.756e-4, -3.083
3868.590, 311,  2^3P,  6^3S, 9, 3, 2.447e6, 1.829e-3, -1.783
3872.884,  32,  2^1P,  9^1D, 3, 5, 1.339e6, 5.015e-3, -1.823
3879.276,  31,  2^1P,  9^1S, 3, 1, 5.175e5, 3.891e-4, -2.933
3889.745, 297,  2^3S,  3^3P, 3, 9, 9.475e6, 6.446e-2, -0.714
3927.656,  30,  2^1P,  8^1D, 3, 5, 1.937e6, 7.464e-3, -1.650
3937.059,  29,  2^1P,  8^1S, 3, 1, 7.447e5, 5.767e-4, -2.762
